Periodo,Dolar observado,IPSA Cierre,Posición neta spot,Precio del dolar,Tipo de cambio dolar a peso chileno,Tipo de cambio
1/2/2004,593.8,1484.599976,-4517.31,0,0,0
1/5/2004,587.69,1484.800049,-4455.58,93,0,0
1/6/2004,579.43,1466.77002,-4301.46,16,0,0
1/7/2004,565.18,1461.599976,-4504.6,0,0,0
1/8/2004,567.83,1462.849976,-4453.44,0,29,0
1/9/2004,568.61,1476.400024,-4403.07,0,0,12
1/12/2004,560.51,1475.810059,-4417.21,0,0,0
1/13/2004,559.21,1467.890015,-4388.29,0,0,0
1/14/2004,563.65,1481.689941,-4368.25,0,28,0
1/15/2004,572.08,1475.089966,-4307.24,14,0,0
1/16/2004,569.56,1459.47998,-4203.45,39,0,0
1/19/2004,577.4,1455.97998,-4326.31,0,0,0
1/20/2004,572.69,1453.97998,-4445.95,25,0,0
1/21/2004,567.13,1446.369995,-4431.36,0,0,0
1/22/2004,564.83,1451.02002,-4392.44,0,0,0
1/23/2004,565.76,1453.5,-4378.12,21,0,0
1/26/2004,573.19,1438.920044,-4446.51,0,0,14
1/27/2004,578.61,1439.959961,-4411.36,41,0,0
1/28/2004,577.5,1432.73999,-4367.54,0,0,0
1/29/2004,585.03,1415.25,-4340.14,0,35,0
1/30/2004,596.78,1408.859985,-4443.51,0,0,0
2/2/2004,591.42,1411.329956,-4475.89,0,0,0
2/3/2004,577.27,1416.469971,-4451.47,25,0,0
2/4/2004,581.18,1412.47998,-4421.7,0,0,15
2/5/2004,587.3,1426.189941,-4321.6,0,0,0
2/6/2004,595.34,1424.709961,-4316.15,0,0,25
2/9/2004,598.6,1427.290039,-4341.45,12,0,0
2/10/2004,586.96,1428.699951,-4293.9,17,0,0
2/11/2004,583.23,1432.949951,-4261.83,0,0,0
2/12/2004,582.45,1435.469971,-4259.33,0,14,0
2/13/2004,577.01,1445.449951,-4237.28,0,0,0
2/16/2004,576.4,1461.599976,-4291.33,0,21,0
2/17/2004,579.8,1487.430054,-4400.96,0,0,0
2/18/2004,572.55,1514.609985,-4368.8,0,14,0
2/19/2004,571.35,1506.619995,-4274.8,0,0,0
2/20/2004,581.24,1504.790039,-4310.32,0,0,19
2/23/2004,585.28,1533.400024,-4308.88,0,0,11
2/24/2004,586.65,1524.810059,-4379.56,0,0,0
2/25/2004,589.75,1531.22998,-4347.27,30,0,44
2/26/2004,588.02,1537.329956,-4268.84,0,38,0
2/27/2004,594.32,1543.079956,-4284.47,0,31,0
3/1/2004,592.87,1546.969971,-4272.81,0,0,16
3/2/2004,588.04,1567.810059,-4214.68,0,0,11
3/3/2004,590.28,1568.410034,-4202.64,0,0,78
3/4/2004,598.86,1554.089966,-4106.12,0,19,0
3/5/2004,601.38,1540.530029,-4249.91,0,0,0
3/8/2004,593.22,1493.640015,-4237.71,0,0,0
3/9/2004,593.47,1512.680054,-4173.4,0,0,0
3/10/2004,593.96,1512.689941,-4141.87,0,0,0
3/11/2004,601.1,1496.579956,-4088.88,0,80,0
3/12/2004,600.8,1484.660034,-4049.28,0,0,0
3/15/2004,601.4,1463.439941,-4014.06,0,0,0
3/16/2004,604.56,1474.680054,-4036.33,0,0,0
3/17/2004,605.71,1475.369995,-4015.57,19,0,10
3/18/2004,607.91,1460.969971,-4026.71,10,0,9
3/19/2004,603.35,1453.670044,-4006.98,0,0,0
3/22/2004,606.96,1424.25,-4043.26,0,0,0
3/23/2004,607.64,1429.5,-3833.12,0,0,0
3/24/2004,610.69,1418.01001,-3895.79,22,0,0
3/25/2004,614.62,1441.439941,-3810.49,0,39,0
3/26/2004,614.51,1433.869995,-3806.02,0,0,0
3/29/2004,617.15,1447.300049,-3845.03,0,0,0
3/30/2004,618.29,1449.619995,-3864.92,0,0,0
3/31/2004,623.21,1458.900024,-4012.07,0,15,0
4/1/2004,616.41,1480.310059,-3985.66,0,0,9
4/2/2004,610.55,1488.920044,-4035.82,0,30,0
4/5/2004,609.36,1507.660034,-4040.33,0,0,0
4/6/2004,605.7,1500.930054,-4069.73,0,0,0
4/7/2004,603.91,1496.300049,-4052.2,0,0,0
4/8/2004,606.83,1481.619995,-4008.97,0,0,12
4/12/2004,601.36,null,-4004.37,0,0,0
4/13/2004,599.56,1487.930054,-3936.33,0,0,0
4/14/2004,596.61,1479.869995,-3941.85,0,0,0
4/15/2004,603.77,1475.329956,-3852.61,0,0,0
4/16/2004,605.73,1459.099976,-3879.45,0,0,34
4/19/2004,601.84,1465.040039,-3953.08,0,0,0
4/20/2004,599.36,1450.530029,-3939.68,0,16,0
4/21/2004,600.75,1444.5,-3918.71,0,0,0
4/22/2004,609.06,1430.839966,-3817.39,0,0,0
4/23/2004,614.13,1446.109985,-3852.48,0,10,0
4/26/2004,613.11,1460.880005,-3906,0,0,18
4/27/2004,610.62,1461.439941,-3779.7,0,0,0
4/28/2004,616.28,1460.47998,-3744.99,0,0,0
4/29/2004,622.15,1444.079956,-3610.59,9,0,0
4/30/2004,624.84,1432.540039,-3465.18,0,0,0
5/3/2004,624.98,1430.599976,-3443.02,0,0,0
5/4/2004,624.31,1415.359985,-3547.13,0,0,0
5/5/2004,622.25,1427.939941,-3478.43,0,0,0
5/6/2004,622.62,1443.410034,-3365.8,0,0,0
5/7/2004,630.61,1429.849976,-3396.53,0,0,0
5/10/2004,638.64,1421.900024,-3370.07,0,0,21
5/11/2004,644.42,1390.630005,-3369.53,0,0,0
5/12/2004,640.95,1417.52002,-3444.19,0,0,0
5/13/2004,641.76,1415.790039,-3542.28,0,0,17
5/14/2004,642.62,1408.410034,-3523.9,13,0,0
5/17/2004,638.22,1415.900024,-3619.5,0,0,0
5/18/2004,641.69,1400.209961,-3642.55,0,0,0
5/19/2004,639.36,1408.849976,-3683.59,13,21,0
5/20/2004,635.44,1422.630005,-3607.22,0,0,0
5/24/2004,643.31,1412.829956,-3647.54,0,0,0
5/25/2004,640.78,0,-3706.66,0,0,0
5/26/2004,637.47,1400.540039,-3701.22,0,0,6
5/27/2004,638.59,1400.01001,-3793.42,0,22,0
5/28/2004,634.81,1417.969971,-3676.34,0,0,0
5/31/2004,632.32,1438.640015,-3662.48,0,0,0
6/1/2004,636.02,1429.420044,-3678.05,0,0,0
6/2/2004,642.39,1428.800049,-3688.09,0,0,0
6/3/2004,641.89,1415.859985,-3618.3,0,0,10
6/4/2004,643.06,1415.699951,-3556.45,0,17,0
6/8/2004,644.61,1398.449951,-3455.34,0,0,7
6/9/2004,640.96,1400.829956,-3372.15,0,0,0
6/10/2004,644.83,0,-3449.54,0,0,0
6/11/2004,649.43,1419.280029,-3357.72,0,0,0
6/14/2004,649.45,1435.829956,-3245.28,0,0,0
6/15/2004,648.03,1442.920044,-3321.87,0,0,0
6/16/2004,648.4,1447.400024,-3294.53,11,0,6
6/17/2004,649.39,1436.949951,-3298.29,6,12,0
6/18/2004,648.16,1446.410034,-3330.17,0,0,0
6/21/2004,646.61,1460.459961,-3388.91,0,12,14
6/22/2004,646.47,1470.310059,-3351.85,0,0,0
6/23/2004,643.42,1472.27002,-3395.1,0,0,0
6/24/2004,641.62,1468.119995,-3486.26,0,0,0
6/25/2004,634.35,1457.910034,-3520.97,11,0,0
6/29/2004,634.25,1472.560059,-3486.28,0,0,0
6/30/2004,636.59,1477.02002,-3514.96,54,0,0
7/1/2004,636.3,1477.01001,-3547.34,14,0,0
7/2/2004,632.42,null,-3609.65,7,0,0
7/5/2004,630.39,1476.630005,-3620.05,0,0,0
7/6/2004,630.87,1482.97998,-3541.06,0,0,0
7/7/2004,632.01,1480.349976,-3578.85,0,9,0
7/8/2004,632.27,1481.359985,-3515.07,18,0,0
7/9/2004,631.95,1476.390015,-3422.97,8,0,0
7/12/2004,636.34,1478.030029,-3407.58,0,0,0
7/13/2004,634.07,1488.660034,-3357.61,11,0,6
7/14/2004,634.72,1489.849976,-3383.75,0,0,0
7/15/2004,631.86,1496.76001,-3381.71,0,0,0
7/16/2004,629.65,1500.420044,-3411.58,8,0,0
7/19/2004,622.34,1499.790039,-3391.03,0,0,10
7/20/2004,622.32,1500.449951,-3426.16,0,12,0
7/21/2004,623.46,1498.089966,-3421.44,0,0,0
7/22/2004,627.68,1508.099976,-3390.97,0,0,0
7/23/2004,627.53,1498.839966,-3077.97,0,0,0
7/26/2004,631.86,1504.380005,-3055.74,0,0,7
7/27/2004,639.07,1502.579956,-3009.1,0,0,0
7/28/2004,644.37,1499.959961,-2985.69,11,0,0
7/29/2004,642.81,1497.329956,-2891.07,0,0,0
7/30/2004,638.37,1495.02002,-2962.68,0,0,0
8/2/2004,641.4,1506.530029,-3065.44,0,0,0
8/3/2004,643.76,1506.75,-3045.97,0,0,0
8/4/2004,641.6,1521.640015,-2974.23,8,0,0
8/5/2004,643.81,1520.849976,-2897.95,19,8,0
8/6/2004,641.86,1522.5,-2902.69,0,0,0
8/9/2004,639.52,1521.72998,-2930.58,0,7,0
8/10/2004,638.76,1522.050049,-2852.35,0,10,0
8/11/2004,637.36,1526.579956,-2871.35,0,0,0
8/12/2004,639.75,1524.400024,-2762.95,0,0,5
8/13/2004,640.86,1532.390015,-2770.89,0,0,0
8/16/2004,640.25,1532.27002,-2780.36,0,0,0
8/17/2004,638.77,1538.329956,-2806.06,0,0,5
8/18/2004,635.12,1542.920044,-2777.49,18,0,0
8/19/2004,635.24,1539.790039,-2794.84,0,0,7
8/20/2004,631.61,1545.459961,-2708.55,7,0,0
8/23/2004,633.22,1563.900024,-2655.39,0,0,9
8/24/2004,630.33,1586.030029,-2533.46,0,0,0
8/25/2004,626.13,1585.449951,-2436.79,21,0,0
8/26/2004,627.03,1596.530029,-2264.53,0,8,6
8/27/2004,628.61,1592.27002,-2302.11,0,0,8
8/30/2004,626.56,1591.900024,-2471.04,0,0,0
8/31/2004,628.95,1600.849976,-2430.98,0,0,0
9/1/2004,625.1,1600.73999,-2330.43,0,0,0
9/2/2004,626.76,1626.430054,-2383.01,0,0,0
9/3/2004,625.55,1623.719971,-2450.89,0,0,7
9/6/2004,623.69,1631.410034,-2526.77,0,0,0
9/7/2004,621.93,1636.349976,-2522.08,0,0,0
9/8/2004,622.56,1634.97998,-2393.95,0,6,0
9/9/2004,620.32,1642.030029,-2409.82,0,0,19
9/10/2004,617.67,1642.180054,-2354.57,0,0,0
9/13/2004,618.33,1629.199951,-2361.53,0,0,0
9/14/2004,615.71,1614.780029,-2341.11,0,0,0
9/15/2004,615.46,1599.060059,-2312.85,0,0,0
9/16/2004,615.14,1608.01001,-2415.24,0,0,0
9/20/2004,611.06,1609.47998,-2441.29,0,8,0
